난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Silver II,수학/정수론,2004,조합 0의 개수,Gold IV,맞았습니다!!,13528,124,Kotlin (JVM),452,2022-04-16 16:10
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/구현/수학,10757,큰 수 A+B,Bronze III,맞았습니다!!,30840,84,Python 3,45,2022-04-16 16:10
Gold V,수학/정수론/누적 합/소수 판정/에라토스테네스의 체,17425,약수의 합,Platinum V,맞았습니다!!,142828,280,PyPy3,516,2022-04-16 16:10
Bronze IV,구현/수학,2753,윤년,UNRANK,틀렸습니다,,,Python 3,109,2022-04-16 16:10
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,틀렸습니다,,,Java 11,598,2022-04-16 16:10
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold I,메모리 초과,,,C++17,1479,2022-04-16 16:10
Silver V,브루트포스 알고리즘/구현/수학,4673,셀프 넘버,Bronze I,맞았습니다!!,1112,0,C++17,492,2022-04-16 16:10
Bronze V,구현,10718,We love kriii,UNRANK,맞았습니다!!,30840,72,Python 3,69,2022-04-16 16:10
Silver V,정렬,10989,수 정렬하기 3,Silver III,맞았습니다!!,1112,2636,C++17,314,2022-04-16 16:10
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/구현/수학,10757,큰 수 A+B,Bronze I,맞았습니다!!,30840,84,Python 3,82,2022-04-16 16:10
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,Java 11,384,2022-04-16 16:10
Platinum IV,구성적/구현,2516,원숭이,Gold I,맞았습니다!!,8020,64,C++17,1142,2022-04-16 16:10
Silver IV,자료 구조/해시를 사용한 집합과 맵/정렬/문자열,1302,베스트셀러,Silver IV,틀렸습니다,,,PyPy3,301,2022-04-16 16:10
Silver II,수학,1024,수열의 합,Gold V,맞았습니다!!,1112,0,C++17,551,2022-04-16 16:10
Silver I,재귀,11729,하노이 탑 이동 순서,UNRANK,맞았습니다!!,10816,136,C++17,685,2022-04-16 16:10
Silver I,다이나믹 프로그래밍,2294,동전 2,Platinum V,시간 초과,,,Python 3,373,2022-04-16 16:10
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,124,2022-04-16 16:10
Silver V,구현/문자열,1316,그룹 단어 체커,Bronze IV,맞았습니다!!,2024,0,C++17,569,2022-04-16 16:09
Gold IV,다이나믹 프로그래밍,2482,색상환,Diamond V,맞았습니다!!,17708,40,C++17,1014,2022-04-16 16:09
Silver I,백트래킹/브루트포스 알고리즘,18428,감시 피하기,Gold II,맞았습니다!!,2020,0,C++17,2236,2022-04-16 16:09
Gold V,너비 우선 탐색/플로이드–와샬/그래프 이론/그래프 탐색,2660,회장뽑기,Gold II,맞았습니다!!,2032,0,C++17,1099,2022-04-16 16:09
Bronze V,구현,10718,We love kriii,UNRANK,출력 형식이 잘못되었습니다,,,Python 3,62,2022-04-16 16:09
Gold II,백트래킹/브루트포스 알고리즘/구현/시뮬레이션,12100,2048 (Easy),Silver II,틀렸습니다,,,C++17,2574,2022-04-16 16:09
Silver V,구현/문자열,2941,크로아티아 알파벳,UNRANK,틀렸습니다,,,C++17,446,2022-04-16 16:09
Bronze III,사칙연산/수학,2884,알람 시계,Bronze I,틀렸습니다,,,Python 3,129,2022-04-16 16:09
Silver II,수학/정수론,2004,조합 0의 개수,Gold IV,틀렸습니다,,,Kotlin (JVM),452,2022-04-16 16:09
Bronze II,사칙연산/구현/수학,15552,빠른 A+B,Silver III,맞았습니다!!,30840,1456,Python 3,155,2022-04-16 16:09
Gold III,다익스트라/그래프 이론,11779,최소비용 구하기 2,Gold I,메모리 초과,,,C++17,1485,2022-04-16 16:09
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,Gold V,맞았습니다!!,13656,128,Kotlin (JVM),295,2022-04-16 16:09
Bronze IV,사칙연산/구현/수학,1008,A/B,Silver V,틀렸습니다,,,C99,123,2022-04-16 16:09
Bronze I,구현/정렬,2750,수 정렬하기,Bronze V,틀렸습니다,,,node.js,291,2022-04-16 16:09
Bronze II,구현,2562,최댓값,Bronze III,틀렸습니다,,,C++17,263,2022-04-16 16:09
Bronze IV,구현/수학,2753,윤년,UNRANK,맞았습니다!!,30840,76,Python 3,181,2022-04-16 16:09
Platinum IV,그래프 이론/강한 연결 요소,20504,I번은 쉬운 문제,Platinum IV,시간 초과,,,PyPy3,2100,2022-04-16 16:09
Silver IV,자료 구조/스택/문자열,4949,균형잡힌 세상,Silver II,틀렸습니다,,,Python 3,833,2022-04-16 16:09
Bronze V,사칙연산/구현/수학,10430,나머지,UNRANK,맞았습니다!!,30840,68,Python 3,158,2022-04-16 16:09
Bronze V,구현,2557,Hello World,UNRANK,맞았습니다!!,13892,132,Java 11,99,2022-04-16 16:09
Platinum III,자료 구조/최소 공통 조상/희소 배열/트리,13511,트리와 쿼리 2,Gold I,틀렸습니다,,,C++17,2717,2022-04-16 16:09
Bronze II,구현,2562,최댓값,Bronze III,틀렸습니다,,,C++17,259,2022-04-16 16:09
Bronze III,구현,2742,기찍 N,UNRANK,맞았습니다!!,30840,120,Python 3,56,2022-04-16 16:09
Bronze III,사칙연산/오일러 지표 (χ=V-E+F)/기하학/수학,10569,다면체,Silver III,맞았습니다!!,2020,0,C++17,210,2022-04-16 16:09
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,Java 11,378,2022-04-16 16:09
Gold IV,깊이 우선 탐색/다이나믹 프로그래밍/트리에서의 다이나믹 프로그래밍/그래프 이론/그래프 탐색/트리,14267,회사 문화 1,Silver I,시간 초과,,,Python 3,590,2022-04-16 16:09
Gold V,정렬/스위핑,23740,버스 노선 개편하기,Gold I,시간 초과,,,PyPy3,600,2022-04-16 16:09
Bronze IV,구현/수학,2753,윤년,UNRANK,맞았습니다!!,1112,0,C99,211,2022-04-16 16:09
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,C++17,110,2022-04-16 16:09
Bronze V,구현,2557,Hello World,UNRANK,틀렸습니다,,,Java 11,99,2022-04-16 16:09
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold IV,시간 초과,,,C++17,2379,2022-04-16 16:09
Silver III,자료 구조/스택,1874,스택 수열,UNRANK,틀렸습니다,,,C++17,643,2022-04-16 16:09
Bronze IV,사칙연산/수학,2480,주사위 세개,Silver II,맞았습니다!!,2020,0,C++17,469,2022-04-16 16:09
Silver I,조합론/다이나믹 프로그래밍/수학,10164,격자상의 경로,Bronze I,100점,2024,0,C++17,543,2022-04-16 16:09
Silver I,재귀,11729,하노이 탑 이동 순서,UNRANK,틀렸습니다,,,C++17,800,2022-04-16 16:08
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/구현/수학,10757,큰 수 A+B,Bronze I,런타임 에러 (NameError),,,Python 3,72,2022-04-16 16:08
Bronze II,구현,2562,최댓값,Bronze III,틀렸습니다,,,C++17,263,2022-04-16 16:08
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,Java 11,380,2022-04-16 16:08
Bronze II,구성적/그리디 알고리즘/수학/문자열,24798,The Weight Of Words,Silver I,맞았습니다!!,14176,128,Java 11,882,2022-04-16 16:08
Gold I,백트래킹/구현/시뮬레이션,23290,마법사 상어와 복제,UNRANK,시간 초과,,,PyPy3,3610,2022-04-16 16:08
Gold III,너비 우선 탐색/브루트포스 알고리즘/깊이 우선 탐색/그래프 이론/그래프 탐색,16988,Baaaaaaaaaduk2 (Easy),Gold II,맞았습니다!!,173092,4412,PyPy3,1697,2022-04-16 16:08
Silver V,브루트포스 알고리즘,1436,영화감독 숌,Silver I,맞았습니다!!,30840,796,Python 3,148,2022-04-16 16:08
Gold IV,구현/시뮬레이션,17144,미세먼지 안녕!,Gold I,맞았습니다!!,2156,48,C++17,3331,2022-04-16 16:08
Silver IV,유클리드 호제법/수학/정수론,13241,최소공배수,Silver V,시간 초과,,,C11,246,2022-04-16 16:08
Gold V,정렬/스위핑,23740,버스 노선 개편하기,Gold I,시간 초과,,,PyPy3,608,2022-04-16 16:08
Bronze III,구현,2741,N 찍기,UNRANK,맞았습니다!!,30840,120,Python 3,60,2022-04-16 16:08
Bronze V,구현,2557,Hello World,UNRANK,틀렸습니다,,,Java 11,101,2022-04-16 16:08
Bronze II,구현,2562,최댓값,Bronze III,틀렸습니다,,,C++17,263,2022-04-16 16:08
Silver I,재귀,11729,하노이 탑 이동 순서,UNRANK,컴파일 에러,,,C++17,798,2022-04-16 16:08
Platinum III,자료 구조/최소 공통 조상/희소 배열/트리,13511,트리와 쿼리 2,Gold I,틀렸습니다,,,C++17,2717,2022-04-16 16:08
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,Java 11,378,2022-04-16 16:08
Gold V,너비 우선 탐색/플로이드–와샬/그래프 이론/그래프 탐색,2660,회장뽑기,Gold II,맞았습니다!!,2032,0,C++17,1126,2022-04-16 16:08
Bronze III,사칙연산/구현/수학,9295,주사위,Silver III,맞았습니다!!,2020,40,C++17,222,2022-04-16 16:08
Platinum I,애드 혹,24901,Binary Game 2,Silver II,21111점,30840,72,Python 3,281,2022-04-16 16:08
Gold V,브루트포스 알고리즘,1107,리모컨,Gold II,맞았습니다!!,32956,464,Python 3,659,2022-04-16 16:08
Bronze II,브루트포스 알고리즘,2231,분해합,Silver IV,맞았습니다!!,2020,0,C++17,493,2022-04-16 16:08
Bronze V,사칙연산/수학,24736,Football Scoring,Platinum III,맞았습니다!!,30840,68,Python 3,140,2022-04-16 16:08
Bronze IV,구현/수학,2753,윤년,UNRANK,컴파일 에러,,,C++17,114,2022-04-16 16:08
Bronze II,구현,5622,다이얼,Silver V,맞았습니다!!,30840,68,Python 3,355,2022-04-16 16:08
Gold IV,다이나믹 프로그래밍/슬라이딩 윈도우,2096,내려가기,Gold II,맞았습니다!!,23224,284,Java 11,1303,2022-04-16 16:08
Bronze III,구현/문자열,11718,그대로 출력하기,Silver V,맞았습니다!!,1112,0,C99,122,2022-04-16 16:08
Platinum V,단절점과 단절선/깊이 우선 탐색/그래프 이론/그래프 탐색,11400,단절선,Diamond II,맞았습니다!!,14112,180,C++17,897,2022-04-16 16:08
Bronze V,구현,10718,We love kriii,Bronze III,맞았습니다!!,30840,64,Python 3,69,2022-04-16 16:08
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,7576,토마토,Gold II,맞았습니다!!,34356,300,C++17,2480,2022-04-16 16:08
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,7562,나이트의 이동,Gold III,맞았습니다!!,2376,24,C++17,877,2022-04-16 16:08
Bronze III,구현/수학,10872,팩토리얼,Platinum V,맞았습니다!!,2020,0,C++17,298,2022-04-16 16:08
Bronze V,사칙연산/구현/수학,10998,A×B,Silver V,맞았습니다!!,1112,0,C99,115,2022-04-16 16:08
Gold IV,구현/시뮬레이션,17144,미세먼지 안녕!,Gold I,컴파일 에러,,,C++17,3332,2022-04-16 16:08
Silver III,정렬/두 포인터,3273,두 수의 합,Silver IV,런타임 에러 (NoSuchElement),,,Java 11,581,2022-04-16 16:08
Silver I,다이나믹 프로그래밍,2156,포도주 시식,Silver III,맞았습니다!!,30840,588,Python 3,424,2022-04-16 16:08
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,Silver II,맞았습니다!!,30840,76,Python 3,107,2022-04-16 16:08
Bronze II,구현,1076,저항,UNRANK,틀렸습니다,,,C++17,743,2022-04-16 16:08
Bronze V,구현,2557,Hello World,UNRANK,맞았습니다!!,30840,64,Python 3,21,2022-04-16 16:08
Platinum V,자료 구조/분리 집합/오프라인 쿼리,12012,Closing the Farm (Gold),Silver II,맞았습니다!!,86324,1120,Python 3,1063,2022-04-16 16:08
Gold III,너비 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,16236,아기 상어,UNRANK,시간 초과,,,PyPy3,2299,2022-04-16 16:08
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold IV,틀렸습니다,,,C++17,1445,2022-04-16 16:08
Bronze II,구현/수학,2908,상수,Silver IV,맞았습니다!!,1116,0,C99,239,2022-04-16 16:08
Bronze IV,사칙연산/구현/수학,1330,두 수 비교하기,Silver II,틀렸습니다,,,Python 3,106,2022-04-16 16:08
Bronze II,사칙연산/수학,3052,나머지,UNRANK,맞았습니다!!,15776,152,Java 15,597,2022-04-16 16:08
Silver V,브루트포스 알고리즘,1436,영화감독 숌,Silver I,틀렸습니다,,,Python 3,142,2022-04-16 16:08
Bronze III,구현,2741,N 찍기,UNRANK,맞았습니다!!,30840,116,Python 3,54,2022-04-16 16:08
Bronze V,사칙연산/구현/수학,1001,A-B,Silver V,맞았습니다!!,1112,0,C99,115,2022-04-16 16:08
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,4963,섬의 개수,Gold III,맞았습니다!!,33132,96,Python 3,702,2022-04-16 16:08
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,C99,140,2022-04-16 16:08
Bronze III,사칙연산/구현/수학,9295,주사위,Silver III,틀렸습니다,,,C++17,221,2022-04-16 16:08
Silver V,그리디 알고리즘/수학/정수론/정렬/문자열,10610,30,Not ratable,출력 초과,,,Java 11,649,2022-04-16 16:08
Silver II,값 / 좌표 압축/정렬,18870,좌표 압축,Silver II,런타임 에러 (Segfault),,,C99,571,2022-04-16 16:08
Platinum V,자료 구조/분리 집합/오프라인 쿼리,12012,Closing the Farm (Gold),Silver II,출력 초과,,,Python 3,1083,2022-04-16 16:08
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,런타임 에러 (ReferenceError),,,node.js,444,2022-04-16 16:00
Bronze III,사칙연산/수학,9325,얼마?,Silver III,맞았습니다!!,2020,36,C++17,370,2022-04-16 16:00
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Java 11,83,2022-04-16 16:00
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,222,2022-04-16 16:00
Bronze II,구현,2562,최댓값,UNRANK,틀렸습니다,,,Java 11,637,2022-04-16 16:00
Gold I,너비 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,13460,구슬 탈출 2,UNRANK,틀렸습니다,,,Kotlin (JVM),8921,2022-04-16 16:00
Silver I,다이나믹 프로그래밍,9465,스티커,Gold III,맞았습니다!!,47240,880,Python 3,408,2022-04-16 16:00
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,맞았습니다!!,30840,68,Python 3,144,2022-04-16 16:00
Gold IV,브루트포스 알고리즘/그래프 이론/구현/시뮬레이션,17135,캐슬 디펜스,Platinum IV,틀렸습니다,,,C++17,1957,2022-04-16 16:00
Bronze II,구현,2562,최댓값,Bronze III,출력 초과,,,C++17,264,2022-04-16 16:00
Bronze III,사칙연산/구현/수학,10951,A+B - 4,UNRANK,런타임 에러 (NoSuchElement),,,Java 11,234,2022-04-16 16:00
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Silver II,틀렸습니다,,,Python 3,786,2022-04-16 16:00
Silver IV,자료 구조/해시를 사용한 집합과 맵/정렬/문자열,1302,베스트셀러,Gold IV,맞았습니다!!,30840,72,Python 3,405,2022-04-16 16:00
Gold II,분할 정복을 이용한 거듭제곱/수학,2749,피보나치 수 3,Platinum V,틀렸습니다,,,Python 3,192,2022-04-16 16:00
Bronze V,구현,10171,고양이,Silver V,맞았습니다!!,1112,0,C99,151,2022-04-16 16:00
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,런타임 에러 (ReferenceError),,,node.js,442,2022-04-16 16:00
Bronze III,구현,2439,별 찍기 - 2,UNRANK,맞았습니다!!,2020,4,C++17,310,2022-04-16 16:00
Bronze III,사칙연산/구현/수학,2455,지능형 기차,UNRANK,맞았습니다!!,1112,0,C++17,240,2022-04-16 16:00
Bronze II,구현/문자열,1152,단어의 개수,Bronze IV,런타임 에러 (AttributeError),,,Python 3,37,2022-04-16 16:00
Silver III,다이나믹 프로그래밍,9095,"1, 2, 3 더하기",UNRANK,맞았습니다!!,30840,80,Python 3,175,2022-04-16 16:00
Silver I,재귀/트리,1991,트리 순회,Gold III,맞았습니다!!,12212,80,Java 8,1665,2022-04-16 16:00
Bronze III,구현/수학,8393,합,UNRANK,맞았습니다!!,30840,76,Python 3,87,2022-04-16 16:00
Gold V,그리디 알고리즘,2262,토너먼트 만들기,Diamond I,맞았습니다!!,2020,0,C++17,580,2022-04-16 16:00
Platinum V,자료 구조/덱/우선순위 큐,11003,최솟값 찾기,Gold IV,시간 초과,,,Python 3,354,2022-04-16 16:00
Silver V,브루트포스 알고리즘/구현/수학,14912,숫자 빈도수,Silver III,맞았습니다!!,20896,224,Java 11,624,2022-04-16 16:00
Bronze V,구현,10171,고양이,Silver V,컴파일 에러,,,Java 11,240,2022-04-16 16:00
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,런타임 에러 (ReferenceError),,,node.js,440,2022-04-16 16:00
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,Java 11,129,2022-04-16 16:00
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,223,2022-04-16 16:00
Gold V,자료 구조/스택,6198,옥상 정원 꾸미기,Gold II,맞았습니다!!,126068,164,PyPy3,451,2022-04-16 16:00
Bronze IV,구현,9498,시험 성적,UNRANK,맞았습니다!!,30840,76,Python 3,184,2022-04-16 16:00
Platinum IV,구성적/구현,2516,원숭이,Gold I,시간 초과,,,C++17,1836,2022-04-16 16:00
Gold V,정규 표현식/문자열/분할 정복을 이용한 거듭제곱/수학/정수론,1013,Contact,UNRANK,틀렸습니다,,,Python 3,1148,2022-04-16 16:00
Gold IV,그래프 이론/최소 스패닝 트리,1197,최소 스패닝 트리,Gold I,런타임 에러 (IndexError),,,Python 3,658,2022-04-16 16:00
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,PyPy3,423,2022-04-16 16:00
Silver V,정렬,10814,나이순 정렬,UNRANK,맞았습니다!!,61612,3964,Python 3,119,2022-04-16 16:00
Gold II,분할 정복을 이용한 거듭제곱/수학,2749,피보나치 수 3,Platinum V,틀렸습니다,,,Python 3,211,2022-04-16 16:00
Bronze III,구현/수학,8393,합,UNRANK,맞았습니다!!,30840,72,Python 3,91,2022-04-16 16:00
Gold V,정렬/스위핑,23740,버스 노선 개편하기,Gold I,틀렸습니다,,,PyPy3,675,2022-04-16 16:00
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,런타임 에러 (ReferenceError),,,node.js,438,2022-04-16 16:00
Silver III,백트래킹,15650,N과 M (2),Bronze I,런타임 에러 (main class Main),,,Java 8,949,2022-04-16 15:59
Silver IV,자료 구조/해시를 사용한 집합과 맵/정렬/문자열,1302,베스트셀러,Gold IV,틀렸습니다,,,Python 3,402,2022-04-16 15:59
Bronze IV,사칙연산/구현/수학,1008,A/B,UNRANK,맞았습니다!!,2020,0,C++14,157,2022-04-16 15:59
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold IV,시간 초과,,,C++17,2421,2022-04-16 15:59
Platinum II,자료 구조/그래프 이론/그래프 탐색/세그먼트 트리/스위핑,7574,개구리,Diamond III,맞았습니다!!,12328,128,C++17,2140,2022-04-16 15:59
Platinum II,분할 정복/기하학/스위핑,2261,가장 가까운 두 점,UNRANK,컴파일 에러,,,C++17,1894,2022-04-16 15:59
Silver I,너비 우선 탐색/그래프 이론/그래프 탐색,2178,미로 탐색,UNRANK,맞았습니다!!,32452,124,Python 3,543,2022-04-16 15:59
Gold V,자료 구조/분리 집합/그래프 이론/그래프 탐색,17352,여러분의 다리가 되어 드리겠습니다!,Gold II,틀렸습니다,,,Python 3,538,2022-04-16 15:59
Bronze V,구현,2557,Hello World,UNRANK,컴파일 에러,,,C++17,110,2022-04-16 15:59
Bronze III,구현,2439,별 찍기 - 2,UNRANK,틀렸습니다,,,C++17,304,2022-04-16 15:59
Bronze I,구현/수학,1193,분수찾기,Silver III,시간 초과,,,Python 3,477,2022-04-16 15:59
Bronze III,사칙연산/수학,2884,알람 시계,Silver III,맞았습니다!!,30840,84,Python 3,141,2022-04-16 15:59
Bronze IV,구현,9498,시험 성적,UNRANK,맞았습니다!!,30840,76,Python 3,175,2022-04-16 15:59
Gold III,브루트포스 알고리즘/슬라이딩 윈도우,2492,보석,Platinum IV,틀렸습니다,,,C++17,960,2022-04-16 15:59
Bronze IV,사칙연산/구현/수학,1008,A/B,UNRANK,틀렸습니다,,,C99,217,2022-04-16 15:59
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현,2573,빙산,Silver III,컴파일 에러,,,C++17,1971,2022-04-16 15:59
